plot,range,line,entry,source,rep,environment
1,2,E19269,3,Wang,1,Early
2,2,U15-606207,24,Checks,1,Early
3,2,SA18-11280,7,Scaboo,1,Early
4,2,CR16-2874,19,Rainey,1,Early
5,2,LD15-3818,11,Diers,1,Early
6,2,SA17-30464,8,Scaboo,1,Early
7,3,U14-910097,25,Checks,1,Early
8,3,E18610T,2,Wang,1,Early
9,3,LD07-3395bf,10,Diers,1,Early
10,3,K17-6388,4,Schapaugh,1,Early
11,3,HM17-02244,13,Leah,1,Early
12,3,CR16-0042,15,Rainey,1,Early
13,4,LD00-2817,23,Checks,1,Early
14,4,LD11-2170,9,Diers,1,Early
15,4,K18-2961,5,Schapaugh,1,Early
16,4,SA17-19056,6,Scaboo,1,Early
17,4,HM17-12161,12,Leah,1,Early
18,4,HM17-07029,14,Leah,1,Early
19,5,E19517GT,1,Wang,1,Early
20,5,LG15-1913-73,21,Singh,1,Early
21,5,CR16-0130,18,Rainey,1,Early
22,5,CR17-4112,17,Rainey,1,Early
23,5,CR17-3701,16,Rainey,1,Early
24,5,CR16-4386,20,Rainey,1,Early
25,6,LG15-1913-86,22,Singh,1,Early
26,6,K18-2961,5,Schapaugh,2,Early
27,6,HM17-12161,12,Leah,2,Early
28,6,SA18-11280,7,Scaboo,2,Early
29,6,E19517GT,1,Wang,2,Early
30,6,HM17-02244,13,Leah,2,Early
31,7,LD07-3395bf,10,Diers,2,Early
32,7,U15-606207,24,Checks,2,Early
33,7,LD11-2170,9,Diers,2,Early
34,7,SA17-30464,8,Scaboo,2,Early
35,7,CR17-3701,16,Rainey,2,Early
36,7,E18610T,2,Wang,2,Early
37,8,U14-910097,25,Checks,2,Early
38,8,CR16-0130,18,Rainey,2,Early
39,8,E19269,3,Wang,2,Early
40,8,LD15-3818,11,Diers,2,Early
41,8,LD00-2817,23,Checks,2,Early
42,8,CR17-4112,17,Rainey,2,Early
43,9,K17-6388,4,Schapaugh,2,Early
44,9,CR16-4386,20,Rainey,2,Early
45,9,LG15-1913-73,21,Singh,2,Early
46,9,CR16-0042,15,Rainey,2,Early
47,9,LG15-1913-86,22,Singh,2,Early
48,9,SA17-19056,6,Scaboo,2,Early
49,10,CR16-2874,19,Rainey,2,Early
50,10,HM17-07029,14,Leah,2,Early
51,10,HM17-07029,14,Leah,3,Early
52,10,CR16-0130,18,Rainey,3,Early
53,10,LD07-3395bf,10,Diers,3,Early
54,10,CR17-4112,17,Rainey,3,Early
55,11,HM17-02244,13,Leah,3,Early
56,11,CR16-0042,15,Rainey,3,Early
57,11,K18-2961,5,Schapaugh,3,Early
58,11,K17-6388,4,Schapaugh,3,Early
59,11,LD00-2817,23,Checks,3,Early
60,11,LD15-3818,11,Diers,3,Early
61,12,U15-606207,24,Checks,3,Early
62,12,LG15-1913-73,21,Singh,3,Early
63,12,CR16-4386,20,Rainey,3,Early
64,12,LG15-1913-86,22,Singh,3,Early
65,12,SA17-19056,6,Scaboo,3,Early
66,12,CR16-2874,19,Rainey,3,Early
67,13,HM17-12161,12,Leah,3,Early
68,13,U14-910097,25,Checks,3,Early
69,13,SA18-11280,7,Scaboo,3,Early
70,13,E18610T,2,Wang,3,Early
71,13,E19517GT,1,Wang,3,Early
72,13,LD11-2170,9,Diers,3,Early
73,14,SA17-30464,8,Scaboo,3,Early
74,14,E19269,3,Wang,3,Early
75,14,CR17-3701,16,Rainey,3,Early
76,14,CR17-3701,16,Rainey,4,Early
77,14,U15-606207,24,Checks,4,Early
78,14,LD07-3395bf,10,Diers,4,Early
79,15,LG15-1913-86,22,Singh,4,Early
80,15,K18-2961,5,Schapaugh,4,Early
81,15,CR16-0042,15,Rainey,4,Early
82,15,E18610T,2,Wang,4,Early
83,15,E19517GT,1,Wang,4,Early
84,15,LD15-3818,11,Diers,4,Early
85,16,LG15-1913-73,21,Singh,4,Early
86,16,HM17-07029,14,Leah,4,Early
87,16,CR16-0130,18,Rainey,4,Early
88,16,CR16-2874,19,Rainey,4,Early
89,16,HM17-12161,12,Leah,4,Early
90,16,SA18-11280,7,Scaboo,4,Early
91,17,CR17-4112,17,Rainey,4,Early
92,17,CR16-4386,20,Rainey,4,Early
93,17,U14-910097,25,Checks,4,Early
94,17,K17-6388,4,Schapaugh,4,Early
95,17,E19269,3,Wang,4,Early
96,17,SA17-19056,6,Scaboo,4,Early
97,18,LD11-2170,9,Diers,4,Early
98,18,HM17-02244,13,Leah,4,Early
99,18,LD00-2817,23,Checks,4,Early
100,18,SA17-30464,8,Scaboo,4,Early
